"UNITID","OFCODE","#BDRM","#BATHS","AREA","LOCN","STADR","DESC1","DESC2","DESC3","DESC4","DESC5","DESC6","DESC7","GRADE","SOFABD","MAXOCP","FIREPL","PARKSP","BARBCU","WSHDRY","SECDEP","2DA_T1","XDA_T1","WEK_T1","MIN_T1","2DA_T2","XDA_T2","WEK_T2","MIN_T2","2DA_T3","XDA_T3","WEK_T3","MIN_T3","2DA_T4","XDA_T4","WEK_T4","MIN_T4","2DA_T5","XDA_T5","WEK_T5","MIN_T5","2DA_T6","XDA_T6","WEK_T6","MIN_T6","BR1BED","BR2BED","BR3BED","BR4BED","BR5BED","BR6BED","BR1LOC","BR2LOC","BR3LOC","BR4LOC","BR5LOC","BR6LOC","BR1TV","BR2TV","BR3TV","BR4TV","BR5TV","BR6TV","VIRTOUR","INTCMT1","INTCMT2","INTCMT3","WWWCMT","GSTCMT","UNTTYPE","DATEADD","DATECHG","COMMISN","RSRVAMT","MNTHFEE","CLENCRG","CLENFEE","GRSRENT","NETRENT","OWNREXP","RENTDAY","OWNRDAY","FRNDDAY","OMNTDAY","MANTDAY","CLUBDAY","GESTDAY","BLOCKDT","BFYACCT","BFYPHON","LATITUD","LONGTUD"
"FP C0640","IVO","3","2","1244","FP","123 JUANITA, #2-40 FOR PNS","POOL","WIFI","NCAS","NBCH","CBIV","CTUB","NSMO","C+","0","6","BRICK","2PP","COMM","YES","130","371","100","871","1","421","125","1046","1","421","125","1046","1","471","150","1221","1","547","188","1487","1","671","250","1921","1","1Q","1D","2S","","","","Down","Up  ","Up  ","","","","Color","No   ","Color","","","","http://fusion.realtourvision.com/23215","121 JAUNITA #2-40(IV)FOR PNS;BASIC UNIT;DIN/6BAR/2","ALL NEW MATTRESSES;NEW MICROWAVE,TOASTER OVEN ","GROUPS - SAUNA - CLUBHOUSE","Great Forest Pines condo for the budget minded. It is  centrally located in the popular Forest Pines Condo area in the heart of Incline Village walking distance to the pristine Incline Village Beaches, restaurants and Hyatt hotel and spa. The Forest Pines has a clubhouse with sauna, large community hot tub and swimming pool. Diamond Peak Ski Resort is less  than 10 minutes! GREAT VALUE! Please note hot tub and  swimming pool are located in common areas and subject to  operating hours of the HOA. ","","RENTAL  ","11/09/04","9/10/13","35","500","0","114.00","171.00","4335.00","2817.75","311.00","14","11","0","0","0","0","0","0","va1027","Y","39.243367","-119.953371"
"FP C0674","IVO","3","2","1168","FP","#1-74 - 123 JUANITA","POOL","NCAS","NBCH","GRUP","WIFI","CTUB","NSMO","A ","0","6","GAS","2PP","COMM","YES","100","467","148","1207","1","541","185","1466","1","541","185","1466","1","615","222","1725","1","727","278","2117","1","911","370","2761","1","1Q","1Q","2S","","","","Down","Up  ","Up  ","","","","Color","Color","Color","","","","http://fusion.realtourvision.com/94277","123 JUANITA #174(IV) GRT FOREST PINES CONDO ","REMODLED;CONTEMPORY DECOR & UNIQUE ART; HALF MILE","TO BEACH; CLUB HOUSE; SAUNA; COMMUNITY BBQ","Beautiful Forest Pines Condo. Completely remodeled with hard wood floors and great modern decor. Master bedroom and bath on entry level. Summer community barbeques for your  enjoyment. Only a half mile from the pristine beaches of  Incline Village and the Hyatt Casino. Five minutes to the  Diamond Peak Ski area. This home is sure to please, don't  let it pass you by! Please note, swimming pool, sauna and hot tub are located in the clubhouse - operating hours subject to HOA rules. ","","RENTAL  ","1/07/03","6/29/13","35","500","0","114.00","171.00","3367.00","2188.55","160.00","11","6","0","0","0","0","0","0","va1027","Y","39.243854","-119.952587"
"FP C0812","IVO","4","2","1450","FP","#2-12 FRST PNS/123 JUANITA","POOL","NBCH","GRUP","CTUB","TOWN","WDSY","BIKE","A ","0","8","GAS","2PP","COMM","YES","100","503","163","1318","1","585","204","1605","1","585","204","1605","1","667","245","1892","1","789","306","2319","1","993","408","3033","1","1K","1K","1Q","1Q","","","Down","Up  ","Up  ","Up  ","","","No   ","No   ","No   ","No   ","","","http://fusion.realtourvision.com/45414","#2-12 123 JAUNITA(IV)'NSMO, WALK TO BEACH!'","NEWLY REMODELED FOREST PINE CONDO","3 MILES TO DIAMOND PEAK;ACROSS FRM COUERDULAC","NEWLY REMODELED SUMMER OF 2013. This is a lovely condo with  new plasma TVS, wood blinds, travertine counter tops and new carpeting throughout located in the popular Forest Pines  Condominium complex. Walking distance to hiking and biking  trails along Lakeshore Blvd and Incline's private beaches!  5 Ski Resorts to choose from within a short drive and the  complex has a sauna, hot tub and swimming pool available  during certain times. Book now for the BEST Forest Pines has to offer! Please note, swimming pool, sauna and hot tub hours vary depending on HOA rules. ","","RENTAL  ","12/07/01","11/15/13","35","500","0","118.00","177.00","4509.00","2808.45","214.00","14","0","0","0","3","0","0","0","va1027","Y","39.242985","-119.953017"
"FP C1053","IVO","4","2","1588","FP","#1-53 FRST PNS/123 JUANITA","POOL","NBCH","GRUP","WIFI","CTUB","","","B+","0","10","ROCK","2PP","COMM","YES","100","530","156","1310","1","608","195","1583","1","608","195","1583","1","686","234","1856","1","804","293","2269","1","998","390","2948","1","1Q","1Q","1D1B","2S","","","Down","Up  ","Up  ","Up  ","","","No   ","No   ","No   ","DVD  ","","","http://fusion.realtourvision.com/76080","#1-53 123 JAUNITA(IV)FRST PINES'NSMO'COZY CONDO","WALK TO THE BEACH;DINING FOR 8;CLOSE TO CASINO","OWNER REMODELING KITCHEN IN MAY 2014","Forest Pines townhomes are located just a short walk to the private beach at Incline Village for your summer fun! This  four bedroom townhome is a three story with a comfortable  decor, rock fireplace, 1 plasma TV and 1 flatscreen TV with  DVD player. Everything is just a short drive away - golf,  skiing, fine dining, casino nightlife - your next vacation is sure to be fun-filled! ","","RENTAL  ","12/07/01","3/08/14","35","500","0","145.00","218.00","3996.00","2523.40","372.50","14","8","2","0","0","0","0","0","va1027","Y","39.243608","-119.951783"
"HC C0600","SSO","2","2.1","830","HC","#14-1410 SKI RUN","WIFI","WDSY","GRUP","NSMO","NCAS","","","A-","1","6","GAS","2PP","GAS","YES","100","327","80","727","1","367","100","867","1","367","100","867","1","407","120","1007","1","467","150","1217","1","567","200","1567","1","1K","1K","","","","","Up  ","Up  ","","","","","Color","Color","","","","","http://fusion.realtourvision.com/81297","1410 SKIRUN#14(HV)SKIRUN VLG;LUXURY 2LVL TWNHSE","OPEN LVG/DNG/KIT;2DECKS;SKILOCKER;LVG/DHAB/STER/CD","DNG/4+2BAR;2MIN/HV/CAS/LAKE;QUIET COMPLEX","A cute & cozy Lake Tahoe condo in a great location! It features a great living area with TV/VCR and Stereo with  CD.  Upstairs you will find two bedrooms, both with king-size beds, both with TV's and two baths.  Dining for four plus two at the kitchen bar.  It also has a gas-log fireplace for  warmth and ambiance.  This property is located only minutes  from Heavenly or the Casino nightlife.  In the winter you can walk just a short distance to the ski shuttle pickup point. It is centrally located to many South Shore amenities and is less than 1/2 mile to several fine restaurants.  Perfect for couples looking for a romantic getaway! Please note:  This home does require a 3 night minimum throughout the winter. Please call our reservation agents to check availability. VRP# 102024                                                                o ","","RENTAL  ","12/07/99","10/15/13","20","500","0","111.00","167.00","6080.00","4864.00","2980.29","42","0","0","0","0","0","0","0","va1005","Y","38.935929","-119.950227"
"HC C0604","SSO","3","2","1060","HC","#C4 1439 SKI RUN BLVD","WIFI","POOL","CTUB","NSKI","NSMO","WDSY","","A-","1","6","GASLOG","1C+1PP","NONE","YES","115","487","148","1227","1","561","185","1486","1","561","185","1486","1","635","222","1745","1","747","278","2137","1","931","370","2781","1","1K","1Q","1H","","","","Up  ","Up  ","Loft","","","","Color","Color","No   ","","","","http://fusion.realtourvision.com/49015","#C4 1439 SKI RUN BLVD(UH)'GRT SKI CONDO, 3 BLKS TO","HEAV;PRVT BCH ACCESS@LAKESIDE BEACH-SEE NOTES/INFO","COMPLEX AMEN;SUMMER POOL;YR RND HTUB;REC CENTER","Absolutely wonderful remodeled condo just blocks from  Heavenly Ski Resort!  You will find a remodel kitchen with granite countertops and staineless steel appliances, a gorgeous living room with 42' flat screen TV, beautiful gas burning fireplace, and purgo floors.  The furniture is all new in 2011 with leather couches in the living room, king size and queen size bedrooms, and a queen size futon in the loft! The complex offers a summer community pool, year round hot tub, and recreation center with pool table and ping pong table.  The pool and rec center are open from 10am to 10pm. Also you will be just 1 mile from beaches and casinos!   Amazing! VRP# 005285 ","","RENTAL  ","12/06/11","1/17/14","35","500","0","127.00","191.00","6663.00","4315.95","61.12","27","0","0","0","0","0","3","0","va1005","Y","38.935831","-119.947650"
"HC C0622","SSO","2","1.1","1044","HC","#11 1200 WILDWOOD AVE","NSKI","WDSY","NCAS","NSMO","","","","B+","1","6","GASLOG","1C+1PP","COMM","YES","100","326","88","766","1","326","88","766","1","370","110","920","1","414","132","1074","1","480","165","1305","1","590","220","1690","1","1Q","1Q1H","","","","","Up  ","Up  ","","","","","Color","DVD  ","","","","","http://fusion.realtourvision.com/62974","#11 1200 WILDWOOD AVE(UH)'CUTE CONDO, NEWER FURN;","32'FLAT TV/LR;4 BLKS TO HEAV;BDRM 2 IS 1Q+DAY","BEDROOM 2 HAS 1 QUEEN SIZE BED AND FULL SIZE FUTON","This is a very adorable condo located in the heart of South  Lake Tahoe just blocks from Heavenly Ski Resort, and only a  mile from casinos and beaches!  Very comfortable decor, flat screen TV's in the living room and master bedroom, dining and sleeping for 6 people, and more!  Bedroom 2 has a double bed, a single bed, and a single trundle and the master has a  queen.  Perfect comfort for the ski group and families  looking for an economical rental! VRP# 005107 ","","RENTAL  ","9/06/11","6/04/13","35","500","0","100.00","150.00","3465.00","2252.25","159.00","21","0","0","5","0","0","0","0","va1005","Y","38.944491","-119.949895"
"HC C0627","SSO","2","1.1","832","HC","#27-1410 SKI RUN BLVD","WIFI","NCAS","NSKI","GRUP","NSMO","","","B+","0","6","MARBLE","2PP","GAS","YES","100","290","70","640","1","290","70","640","1","350","100","850","1","414","132","1074","1","480","165","1305","1","590","220","1690","1","1Q","1D2S","","","","","Up  ","Up  ","","","","","Color","No   ","","","","","http://fusion.realtourvision.com/79207","#27 1410 SKI RUN VILLAGE(UH)'CLASSY LUXURY CONDO'","3 BLKS TO HVSKI;DESIGN DECR;BLK MARBLE FP/FLOORS/","COUNTRS;WOODED SETTING;STER/CD;NEXT DOOR HCC628","Wonderful decor throughout give this condo an elegant feel.  Featuring a black marble fireplace, marbled tile kitchen and black leather couches, this condo is just around the corner from skiing and only a couple of minutes from casinos and beaches.  The back deck faces a view of the woods - perfect for your barbecue!  A great vacation spot for honeymooners or your small family! Please note:  This home does require a 3 night minimum throughout the winter.  Please call our reservation agents to check availability. VRP# 104316 ","","RENTAL  ","5/08/93","11/14/13","35","500","0","100.00","150.00","3843.00","2473.95","207.25","24","0","0","0","0","0","0","0","va1005","Y","38.935801","-119.949758"
"HC C0628","SSO","2","1.1","832","HC","#28-1410 SKI RUN BLVD","WIFI","NSMO","NSKI","WODS","GRUP","","","B+","1","6","GASLOG","2PP","GAS","YES","100","337","85","762","1","337","85","762","1","367","100","867","1","455","144","1175","1","527","180","1427","1","647","240","1847","1","1Q","2S","","","","","Up  ","Up  ","","","","","DVD  ","No   ","","","","","","#28-1410 SKIRUN (UH)*BEAU UPSCALE SKI CONDO W/MTN","LODGE DCR;LVG/25'CTV/HBO/DHAB/STER/CD;DNG/4BARONLY","NWFURN12/99;BCKS TO FORST;NEXT DR TO HCC627;3MINHV","With Heavenly Ski Resort and our beautiful Lake only minutes away, this lovely ski condominium is the ideal location for a vacation to remember!  Whether you are relaxing in front of the cozy fireplace or watching your favorite team  one the brand new 42' Flat Screen TV, you will surely enjoy the comfort and ambiance this townhouse offers. You will find mountain lodge 'Back to the Woods' decor in this beautifully appointed home, high speed wireless internet access and brand new sectional sofa, this condo is perfect for your next vacation any time of the year! Please note:  This home does require a 3 night minimum throughout the winter.  Please call our reservation agents to check availability. VRP# 102067 ","","RENTAL  ","12/23/99","7/06/12","35","500","0","111.00","167.00","5664.00","3681.60","51.02","33","0","0","0","0","0","0","0","va1005","Y","38.935760","-119.949793"
"HC C0646","SSO","2","1.1","900","HC","#46 - 1200 WILDWOOD AVE.","WIFI","NSMO","WDSY","CITY","","","","B+","1","6","GASLOG","1C+1D","COMM","YES","100","334","92","794","1","380","115","955","1","380","115","955","1","426","138","1116","1","496","173","1361","1","610","230","1760","1","1Q","1D","","","","","Up  ","Up  ","","","","","Color","No   ","","","","","http://fusion.realtourvision.com/68785","#46-1200 WILDWOOD(LH) CUTE FALL '02 REMODLE; CLS","TO HV & CAS, DIN/4+2BAR;TV/VCR IN LR; 5 MIN TO CAS","HV OR BEACH; GOOD VALUE","A Tahoe Rental, cute and close to everything.  This  property, remodeled fall '02 is close to skiing at Heavenly  and also is near the casino night life of the south shore  and the beaches as well!  Perfect for a small family or two  couples looking for a ski weekend or a get-a-way at any time of the year! Please note:  This home does require a 3 night minimum throughout the winter.  Please call our reservation agents to check availability. VRP#102744 ","","RENTAL  ","11/30/02","1/03/14","35","500","0","100.00","150.00","2911.50","1840.20","44.60","19","0","0","0","0","0","0","0","va1005","Y","38.944205","-119.949522"
"HC C0829","SSO","3","2","1161","HC","1129 #D HERBERT AVE","WIFI","POOL","CTUB","NSKI","NCAS","NSMO","","B+","1","8","WOOD","2PP","COMM","NO","100","385","104","905","1","437","130","1087","1","437","130","1087","1","489","156","1269","1","567","195","1542","1","697","260","1997","1","1Q","2S","2S","","","","Up  ","Up  ","Up  ","","","","DVD  ","No   ","No   ","","","","http://fusion.realtourvision.com/96614","1129 #D HERBERT AVE(LH)'VERY CUTE BAVARIAN CONDO'","SUMMER POOL, YEAR ROUND HOT TUB, Q FUTON/LR","DIN/8 BAR/3;1 MILE TO CASINOS & HEAVENLY","Very cute Bavarian Village condo perfect for 2 families!   This wonderful home has a summer community pool, year round community hot tub, and high speed wireless internet access. You will be close to everything Lake Tahoe has to offer, just 5 minutes to casinos and Heavenly Ski Resort and just blocks from the beach!  Fantastic condo anytime of year! VRP# 005006 ","","RENTAL  ","8/09/11","7/06/12","35","500","0","118.00","177.00","5720.00","3608.80","140.00","30","2","0","0","0","0","0","0","va1005","Y","38.942692","-119.960151"
"HC C0839","SSO","3","2","1161","HC","1139 HERBERT #C","POOL","CTUB","WIFI","NSKI","NSMO","","","B+","1","8","ROCK","2PP","COMM","NO","125","393","108","933","1","487","155","1262","1","447","135","1122","1","501","162","1311","1","583","203","1598","1","717","270","2067","1","1K","1Q","2S","","","","Up  ","Up  ","Up  ","","","","Color","Color","Color","","","","http://fusion.realtourvision.com/55665","1139 HERBERT #C(LH)'BAVARIAN VILLAGE CONDO,SUMMER","POOL, YR ROUND CTUB;COMM BBQ(COAL);REMODEL, NEW ","BATHROOMS,GRANITE COUNTERS;40' FLAT TV;DHAB/LR","Take a look at this very adorable condo located perfectly in the heart of South Lake Tahoe!  The Bavarian Village complex offers community summer pool, year round hot tub, and community barbecues and picnic areas!  This is a wonderful condo with all 0rand new furniture, remodeled kitchen with granite counter tops, brand new bathrooms, high speed wireless internet access, and a 40' Flat Screen TV! It has a beautiful rock wood burning fireplace and dining for 8 people.  The location is unbeatable, only a mile to Heavenly Ski Resort, 24 hour casino nightlife, and beaches! Anytime of year, this is the place to be! VRP# 003825 ","","RENTAL  ","3/12/11","1/09/13","35","500","0","118.00","177.00","6591.00","4208.55","132.00","39","56","0","0","0","0","0","0","va1005","Y","38.942505","-119.960124"
"HC C0861","SSO","3","2","935","HC","3861 SADDLE RD #10","NSKI","VIEW","NBCH","NCAS","NSMO","WIFI","CTUB","B ","0","8","GASLOG","2PP","GAS","YES","100","401","115","976","1","401","115","976","1","521","175","1396","1","579","204","1599","1","681","255","1956","1","851","340","2551","1","1Q","1Q","1B","","","","Down","Down","Down","","","","No   ","No   ","No   ","","","","http://fusion.realtourvision.com/91442","3861 SADDLE RD #10(UH)'CLOSEST CONDO TO HEAV TRAM","IN CONCEPT SIERRA!;BDRM3=2 DOUBLE BUNKS;GRT VIEWS","OF HEAV!;100 FT TO TRAM;HUGE DECK;ALL NEW CARPET!","One of a kind 3 bedroom condo just steps away from Heavenly  Ski Resort!  The Tram at Heavenly is only 100 feet away, the complex has a wonderful community hot tub just across the  parking lot, and you can sleep 8 people!  Bedroom 3's bunk  bed has 2 full size beds, and you'll have a very large deck with gas barbecue and amazing views of Skiing!  Only 5 minutes to gambling and beaches! VRP#005632 ","","RENTAL  ","7/24/12","2/10/14","35","500","0","114.00","171.00","8699.50","5593.47","521.28","42","3","0","0","5","0","0","0","va1005","Y","38.937856","-119.939061"
"HC H0681","SSO","2","2","1700","HC","1181 TIMBER LN","NSKI","NCAS","NBCH","POOL","CTUB","NSMO","","B ","1","6","ROCK","2D","GAS","YES","100","375","104","895","1","427","130","1077","1","427","130","1077","1","479","156","1259","1","557","195","1532","1","687","260","1987","1","1Q","1Q","","","","","Down","Down","","","","","Color","No   ","","","","","http://fusion.realtourvision.com/83246","1181 TIMBER LN(TT)'PET FRIENDLY BAVARIAN STYLE HM!","STEPS TO THE SUMMER POOL AND WINTER CTUB","40'FLAT TV/LR;DIN/6;;QHAB/LR;5 BLKS TO SKI","This is one very comfortable home with the perfect location! Located in the Bavarian style community of Tahoe Tyrol, this wonderful home can sleep 6 people with a sofa sleeper in the living room, has a 40' flat screen TV in the living room, and has access to the community summer pool and year round hot tub!  Only a few blocks to Heavenly Ski Resort and only 1 mile to casinos and beaches!  Very economical choice for you next visit any time of year! VRP# 005764 ","","RENTAL  ","9/19/12","5/22/13","35","500","0","111.00","167.00","6369.48","3893.16","526.92","40","2","0","0","0","0","0","0","","N","38.946163","-119.942388"
"HC H0682","SSO","4","2.1","1456","HC","3482 APRIL DR","WIFI","NSKI","WDSY","NSMO","","","","B ","0","7","GASLOG","2D+1G","GAS","YES","125","457","140","1157","1","527","175","1402","1","527","175","1402","1","597","210","1647","1","703","263","2018","1","877","350","2627","1","1K","1Q","2S","1S","","","Up  ","Up  ","Up  ","Down","","","Color","No   ","No   ","No   ","","","http://fusion.realtourvision.com/47627","3482 APRIL DR(UH)'1 MILE TO HEAV, REMODELED KIT!","CHARCOAL BBQ;FENCED YARD;GRANITE COUNTERS IN KIT;","10 MIN TO CASINOS&BEACHES;DIN/8;TV IN KIT;LG DECK","Take a look at this very cute home a mile from Heavenly Ski Resort and 24 hour casinos! The home features 3 bedrooms upstairs, a remodeled kitchen with granite countertops, and a large fenced backyard.  Only a short drive away from all of Lake Tahoe's fabulous activities and perfect for families, this home is perfect anytime!   VRP# 003290 ","","RENTAL  ","9/16/08","3/13/14","35","500","0","118.00","177.00","5759.00","3658.15","281.81","35","0","0","42","0","0","0","0","va1005","Y","38.927616","-119.953888"
"HC H0808","SSO","3","3","2995","HC","2208 MARSHALL TRAIL","HTUB","VIEW","NSMO","WDSY","HOUS","","","A ","1","8","GASLOG","2G+2D","ELEC","YES","200","781","280","2181","1","851","350","2426","1","921","350","2671","1","1061","420","3161","1","1271","525","3896","1","1621","700","5121","1","1K","2S","1Q","","","","Down","Up  ","Up  ","","","","VCR  ","No   ","No   ","","","","http://fusion.realtourvision.com/19576","2208 MARSHALL TR(ME);SUNNY CUSTOM HOME!;SNY DECKS","W/HTUB/TV/STEREO/CD IN LR/GRMT TILE KIT;DIN8+2BAR","1QHAB IN LFT;10 MIN TO HV OR CAS;NINTENDO IN LR","This large home is perfect for your next executive retreat or upscale family vacation.  This custom home is surrounded by lawn, flowers, mountains and trees.  This home is in a quiet residential neighborhood and only minutes to skiing or the casinos.  The master suite features a view of the mountain and a large private bath.  The vaulted ceiling living room has a wonderful open feel and has a surround sound system for the TV/Stereo system and a cozy gas-log fireplace.                                      The large tile kitchen is a gourmet's delight with all conveniences and is a pleasure to be in. The home also has beautiful deck on three sides and has a wonderful hot tub ready to sooth away all your cares or aches from a hard day of vacationing!  This home represents a true luxury vacation experience, one you are sure to enjoy! VRP# 0587 ","","RENTAL  ","6/08/00","7/06/12","35","500","0","147.00","221.00","14070.00","9145.50","802.20","25","0","0","0","0","0","0","0","va1005","Y","38.898602","-119.963274"
"HC H0809","SSO","3","2","2018","HC","1209 GOLDEN BEAR TRAIL","HTUB","WIFI","NSMO","WDSY","","","","A-","1","8","WDSTV","2G+2D","GAS","YES","250","501","152","1261","1","577","190","1527","1","577","190","1527","1","653","228","1793","1","767","285","2192","1","957","380","2857","1","1K1H","1Q","1Q","","","","Up  ","Up  ","Up  ","","","","DVD  ","No   ","No   ","","","","http://fusion.realtourvision.com/48869","1209 GOLDEN BEAR TR(ME)GREAT TAHOE HOUSE W/HTUB!","DS LIV;LANDSCAPED;HTUB ON DECK;TV/VCR IN MBR;DIN6","2BAR;1QHAB IN ROOM OFF MBR;10 MIN TO CAS OR HV","What a great house for your next Tahoe Vacation.  This home was furnished in the 'Tahoe Style' in the fall of 2004!  It features a grassed back yard with a deck and hot tub!  This downstairs living property has a cozy wood stove on a lovely granite hearth.  TV/VCR/DVD and stereo are all available in the living room.  The master has a bedroom attached where you will find a double futon sofa bringing the sleeping capacity to eight adults.  The tile kitchen is a pleasure to work in and you have a formal dining area for six plus an additional two at the breakfast nook.  Located only 5-10 minutes drive from either the casinos or skiing at Heavenly, this home will please all looking for a quality Tahoe vacation rental experience! VRP# 1245 ","","RENTAL  ","8/29/01","9/12/12","35","500","0","131.00","197.00","7201.00","4464.05","1207.20","27","3","0","0","0","0","3","0","va1005","Y","38.904044","-119.974036"
"HC H0847","SSO","4","2","1865","HC","3847 REGINA RD.","HTUB","NSKI","WIFI","NSMO","WDSY","JACZ","GRUP","A-","0","8","GASLOG","2G+2D","GAS","YES","200","710","240","1910","1","830","300","2330","1","830","300","2330","1","950","360","2750","1","1130","450","3380","1","1430","600","4430","1","1K","1Q","1Q","2S","","","Up  ","Down","Down","Loft","","","VCR  ","No   ","No   ","No   ","","","http://fusion.realtourvision.com/34904","3847 REGINA(UH)'HTUB/WALK TO HEAVENLY';1 BLK TO ","SKIING;PRICED FOR VALUE;MTL FP IN LR;DIN 4+2BAR;","GRT SKI CABIN,REMODLD EARLY'00;LG BACKDECK/HTUB","A great choice for those who want location, value and amenities! Relax in your own private hot tub on the large redwood deck in the large back yard!  This classic Tahoe home is only one block from Heavenly Valley Ski Area and an easy level walk so you don't have to drive!  The kitchen & living room were remodeled with hickory cabinets and maple counters.  The rock fireplace with warm gas log for ambiance without the trouble of wood.  The downstairs floor is in a southern yellow pine. This home features a downstairs living room, fireplace and open beam ceilings. Only ten minutes to the lake or nightlife, this is a good value year round! WOW! CHECK OUT THE MASTER SUITE ADDITION WITH IT'S OWN GAS FIREPLACE AND JACUZZI TUB! Please note:  This home does require a 3 night minimum throughout the winter.  Please call our reservation agents to check availability. VRP #103483 ","","RENTAL  ","2/11/99","2/03/14","35","500","0","153.00","230.00","10770.00","7000.50","1102.62","27","28","0","0","3","0","0","0","va1005","Y","38.939335","-119.941446"
"HC H0863","SSO","3","2","1806","HC","1263 ELVA CT.","WODS","WDSY","WIFI","NSKI","NCAS","NBCH","NSMO","B+","1","8","WOOD","2D+1G","GAS","YES","140","485","144","1205","1","557","180","1457","1","557","180","1457","1","629","216","1709","1","737","270","2087","1","917","360","2717","1","1Q","1Q","1Q","","","","Up  ","Up  ","Down","","","","No   ","No   ","DVD  ","","","","http://fusion.realtourvision.com/70507","1263 ELVA CT.(UH)'NICE HOME CLOSE TO SKIING!GAS ","BBQ;SLEDDING HILL ACROSS STREET;HARDWOOD FLRS IN","KIT;QHAB IN LR;BDRM 3 HAS FOOSBALL;NICE TREE VIEWS","Perfect location for the perfect vacation! This wonderful  home sits a 1/2 mile from Heavenly Ski Resort and only 1 mile to beaches and casinos!  There is a large kitchen with hardwood floors, a separate family room/living room combo with wood burning fireplace, 2 bedrooms upstairs and 1 down.  The downstairs bedroom has a queen size bed, TV/DVD, a foosball table, and a sofa for relaxing.  The perfect place for the kids to go while the parents are enjoying their private vacation time! There is a queen size sofa sleeper in the main living room and right across the street is the perfect sledding hill! Fantastic home at the right price, perfect for your next Lake Tahoe vacation! VRP#103144 ","","RENTAL  ","11/10/09","7/11/13","35","500","0","131.00","197.00","7308.00","4660.20","474.30","38","8","0","0","2","0","0","0","va1005","Y","38.938614","-119.953361"
"HC H0886","SSO","3","2","1565","HC","4086 SADDLE ROAD","LKVW","JACZ","WIFI","NSKI","WODS","NCAS","NSMO","A ","1","8","ELECST","2G+2D","GAS","YES","200","664","250","1914","1","714","275","2089","1","714","275","2089","1","824","330","2474","1","990","413","3055","1","1264","550","4014","1","1Q","1Q","1Q","","","","Up  ","Up  ","Up  ","","","","VCR  ","VCR  ","VCR  ","","","","http://fusion.realtourvision.com/78418","4086 SADDLE RD(UH)SEE OWNER MEMO'S ON FISH & GAME","BOOKINGS;WOOD BURNING IS NO LONGER IN USE/OWNER ","INSTALLED GAS LOG INSERT;DO NOT USE WOOD FIREPLACE","Beautiful lake view sunsets await you in this custom built Bavarian-style chalet! This quiet solid cedar home backs to the national forest at Heavenly Valley.  The vaulted ceiling living room has flat screen HDTV with DVD and VCR, WIFI, CD player, leather couches, and instant romance from the log stove. The front deck and living room offer lake and mountain views.  Master bath has a relaxing jacuzzi-style jetted tub for two!  This unique home has a wonderful European design tile kitchen, a charming European stucco fireplace, and many handcrafted details. The back deck views the national forest. Truly a luxury experience, this quality home feels remote yet is only a minute by car to skiing at Heavenly and just a short drive to the exciting casino nightlife or the beach! Please note:  This home does require a 3 night minimum throughout the winter.  Please call our reservation agents to check availability. VRP# 103006 ","","RENTAL  ","6/06/00","7/06/12","35","500","0","109.00","164.00","9497.00","6173.05","327.19","28","5","0","0","0","0","0","0","va1005","Y","38.943995","-119.933961"
"HC H0892","SSO","3","1.1","1067","HC","3692 FOREST AVE","HTUB","WIFI","NSKI","WDSY","JACZ","NSMO","","A-","1","10","BRICK","2D","GAS","YES","150","609","200","1609","1","709","250","1959","1","709","250","1959","1","889","340","2589","1","959","375","2834","1","1349","570","4199","1","1K1H","1Q1H","2K","","","","Down","Up  ","Loft","","","","No   ","DVD  ","No   ","","","","http://fusion.realtourvision.com/14780","3692 FOREST AVE(LH)'GRT OLD CABIN W/ SPECTACULAR","REMODEL!;HARD FLRS;DIN/6BAR/4;WALK THRU LOFT TO","GET/BDRM2;Q FUTON/LOFT;FENCED YD;DHAB/BDRM 1","Wonderful cabin with all the amenities of a perfect rental! Great location, only a mile to casinos and Heavenly, and a few blocks to the beach.  Private hot tub, high speed internet, a Wii with games for guest use in the living room, flat screen TV's and a beautiful remodel.  This home is wonderful!  VRP#004802 ","","RENTAL  ","3/15/11","12/12/13","35","500","0","139.00","209.00","14707.02","11023.56","1495.03","51","2","0","2","1","0","0","0","va1005","Y","38.947165","-119.954110"
"HC H0980","SSO","4","2","1759","HC","2680 HANK MONK AVE","HTUB","PETS","WIFI","WDSY","NSMO","","","A-","0","10","GASLOG","4D+2G","GAS","YES","200","630","200","1630","1","730","250","1980","1","730","250","1980","1","830","300","2330","1","980","375","2855","1","1230","500","3730","1","1K","1D2S","1Q","1K","","","Up  ","Down","Down","Up  ","","","Color","No   ","No   ","No   ","","","http://fusion.realtourvision.com/15873","2680 HANK MONK AVE(OP)'GRT REMODEL W/ HTUB & PETS","W/$300 DEP;HUGE FENCED YARD;DIN/8BAR/3;BEDROOM 2","IS A BUNK;GRANITE COUNTERS;42'FLAT TV;SLATE FLOORS","Adorable, charming, cozy, and absolutely wonderful! This  beautiful home has recently been remodeled with granite  counters and slate fooring, all new leather furniture in the living room and 42' Flat TV, plus all new beds!  The home is pet friendly with a $300 refundable deposit, has a private hot tub on the master bedroom deck, a huge fenced in yard and has a great location.  Just 10 minutes to casinos and beaches and just 5 minutes to Heavenly Ski Resort! VRP#1811 ","","RENTAL  ","10/04/11","12/30/13","35","500","0","153.00","230.00","11948.39","7683.05","1581.68","38","5","0","10","0","0","2","0","va1005","Y","38.915739","-119.970231"
